Date,Close,High,Low,Open,Volume,ticker
2022-04-04,6000.0,7920.0,1545.0,1567.5,3815,NUTX
2022-04-05,3996.0,5250.0,3001.5,5197.5,9875,NUTX
2022-04-06,2685.0,3750.0,2550.0,3750.0,4211,NUTX
2022-04-07,1857.0,2440.949951171875,1839.5999755859375,2389.5,4881,NUTX
2022-04-08,1351.5,1875.0,1338.0,1863.0,9457,NUTX
2022-04-11,1294.5,1375.5,1225.5,1281.0,4362,NUTX
2022-04-12,1237.5,1395.0,1231.5,1239.0,2511,NUTX
2022-04-13,1188.0,1288.5,1162.5,1288.5,4846,NUTX
2022-04-14,1095.0,1212.0,1080.0,1212.0,1883,NUTX
2022-04-18,775.5,1101.0,573.0,1101.0,13805,NUTX
2022-04-19,811.5,855.0,750.0,765.0,3551,NUTX
2022-04-20,703.5,862.5,702.0,801.0,2171,NUTX
2022-04-21,640.5,714.0,630.0,714.0,1843,NUTX
2022-04-22,688.5,715.5,618.0,618.0,2328,NUTX
2022-04-25,663.0,693.0,642.0,693.0,2000,NUTX
2022-04-26,1152.0,2071.5,654.0,685.5,502852,NUTX
2022-04-27,1308.0,1576.5,1198.5,1375.5,299950,NUTX
2022-04-28,1221.0,1297.5,1162.5,1243.5,30563,NUTX
2022-04-29,1413.0,1573.5,1182.0,1183.5,68764,NUTX
2022-05-02,1497.0,1536.0,1284.0,1392.0,27723,NUTX
2022-05-03,1155.0,1611.0,1138.5,1443.0,22468,NUTX
2022-05-04,1026.0,1170.0,975.0,1158.0,15248,NUTX
2022-05-05,858.0,1045.5,840.0,1045.5,10021,NUTX
2022-05-06,892.5,910.5,754.0499877929688,897.0,16128,NUTX
2022-05-09,697.5,874.5,687.0,829.5,11651,NUTX
2022-05-10,748.5,804.0,708.0,766.5,7098,NUTX
2022-05-11,741.0,798.0,718.9500122070312,798.0,10827,NUTX
2022-05-12,750.0,754.5,697.5,706.5,9941,NUTX
2022-05-13,918.0,945.0,744.0,757.5,26203,NUTX
2022-05-16,876.0,916.5,844.5,862.5,4320,NUTX
2022-05-17,1123.5,1146.0,876.0,876.0,17212,NUTX
2022-05-18,1213.5,1345.5,1047.0,1072.5,22441,NUTX
2022-05-19,1195.5,1243.5,1068.0,1215.0,12599,NUTX
2022-05-20,1237.5,1266.0,1122.0,1185.0,12880,NUTX
2022-05-23,1284.0,1357.5,1263.0,1263.0,16675,NUTX
2022-05-24,1258.5,1333.5,1200.0,1239.0,6909,NUTX
2022-05-25,1473.0,1485.0,1222.5,1239.0,14289,NUTX
2022-05-26,1486.5,1521.0,1423.5,1485.0,9877,NUTX
2022-05-27,1500.0,1506.0,1455.0,1477.5,6543,NUTX
2022-05-31,1497.0,1527.0,1432.5,1500.0,10048,NUTX
2022-06-01,1615.5,1678.5,1449.0,1498.5,20709,NUTX
2022-06-02,1381.5,1656.0,1303.5,1620.0,24045,NUTX
2022-06-03,1392.0,1672.5,1378.5,1392.0,32321,NUTX
2022-06-06,949.5,1413.0,901.5,1399.5,50434,NUTX
2022-06-07,999.0,1027.5,949.5,957.0,23547,NUTX
2022-06-08,1204.5,1251.0,987.0,1012.5,28806,NUTX
2022-06-09,1237.5,1363.5,1129.5,1168.5,22094,NUTX
2022-06-10,1059.0,1312.5,1054.5,1201.5,15374,NUTX
2022-06-13,867.0,1066.5,826.5,1066.5,16869,NUTX
2022-06-14,840.0,909.0,837.75,883.5,5791,NUTX
2022-06-15,789.0,865.5,757.5,814.5,11379,NUTX
2022-06-16,747.0,828.0,720.0,798.0,8194,NUTX
2022-06-17,714.0,777.0,706.5,760.5,14913,NUTX
2022-06-21,645.0,758.5499877929688,639.75,748.5,12255,NUTX
2022-06-22,604.5,663.0,600.0,639.0,9675,NUTX
2022-06-23,606.0,612.0,580.5,598.5,7345,NUTX
2022-06-24,603.0,666.0,589.5,601.5,37465,NUTX
2022-06-27,603.0,669.0,601.5,660.0,11814,NUTX
2022-06-28,550.5,621.0,544.5,600.0,8747,NUTX
2022-06-29,499.5,565.5,495.0,565.5,7364,NUTX
